"",".variable","Species","Mean","Lower_2.5","Upper_97.5"
"1","alpha0[1]","Chuditch",-3.65554055553503,-4.18391877898343,-3.23499265790819
"2","alpha0[2]","Quenda",-3.51531851769665,-4.22101999872092,-2.95752205206493
"3","alpha0[3]","Woylie",-2.27384044678986,-2.5833352861614,-2.00711916782881
"4","alpha0[4]","Red Fox",-4.21828468056352,-5.1702692474617,-3.4272132031552
"5","alpha0[5]","Numbat",-4.15804294049693,-5.18963979409965,-3.260413375137
"6","alpha1[1]","Chuditch",0.0411370394852702,-0.0496988534380838,0.129980667039412
"7","alpha1[2]","Quenda",0.00502048157460972,-0.0938756654470068,0.107067105608248
"8","alpha1[3]","Woylie",0.0382587175765471,-0.0233346984528628,0.103857565821781
"9","alpha1[4]","Red Fox",-0.129654373026263,-0.279038497055578,0.0106553073197836
"10","alpha1[5]","Numbat",0.10091265087461,-0.0533526587552371,0.258898526509658
